fastq	num_paired_end_reads	sample_id
ExtrNeg1_S61_L001_R1_001.txt	4236	ExtrNeg1
EXTRNEG_S73_L001_R1_001.txt	2983	EXTRNEG
EXTRPOS_S72_L001_R1_001.txt	188166	EXTRPOS
GW10_S2_L001_R1_001.txt	8702	GW10
GW11_S3_L001_R1_001.txt	5750	GW11
GW12_S4_L001_R1_001.txt	168431	GW12
GW13_S5_L001_R1_001.txt	179187	GW13
GW14_S6_L001_R1_001.txt	151795	GW14
GW15_S7_L001_R1_001.txt	143386	GW15
GW16_S74_L001_R1_001.txt	69732	GW16
GW17_S8_L001_R1_001.txt	217045	GW17
GW18_S9_L001_R1_001.txt	54790	GW18
GW19_S10_L001_R1_001.txt	157450	GW19
GW1_S64_L001_R1_001.txt	157812	GW1
GW20_S11_L001_R1_001.txt	122145	GW20
GW21_S12_L001_R1_001.txt	168421	GW21
GW22_S13_L001_R1_001.txt	228314	GW22
GW23_S14_L001_R1_001.txt	192890	GW23
GW24_S15_L001_R1_001.txt	98301	GW24
GW25_S16_L001_R1_001.txt	148130	GW25
GW26_S17_L001_R1_001.txt	92560	GW26
GW27_S18_L001_R1_001.txt	162985	GW27
GW28_S75_L001_R1_001.txt	56714	GW28
GW29_S19_L001_R1_001.txt	176407	GW29
GW2_S65_L001_R1_001.txt	159866	GW2
GW30_S20_L001_R1_001.txt	75250	GW30
GW31_S21_L001_R1_001.txt	3424	GW31
GW32_S22_L001_R1_001.txt	168435	GW32
GW33_S76_L001_R1_001.txt	33258	GW33
GW34_S23_L001_R1_001.txt	181523	GW34
GW35_S77_L001_R1_001.txt	38117	GW35
GW36_S24_L001_R1_001.txt	123349	GW36
GW37_S25_L001_R1_001.txt	132445	GW37
GW38_S26_L001_R1_001.txt	194560	GW38
GW39_S27_L001_R1_001.txt	119775	GW39
GW3_S66_L001_R1_001.txt	189448	GW3
GW40_S28_L001_R1_001.txt	61292	GW40
GW41_S29_L001_R1_001.txt	65532	GW41
GW42_S30_L001_R1_001.txt	182504	GW42
GW43_S31_L001_R1_001.txt	130908	GW43
GW44_S32_L001_R1_001.txt	172376	GW44
GW45_S33_L001_R1_001.txt	273229	GW45
GW46_S34_L001_R1_001.txt	119504	GW46
GW47_S35_L001_R1_001.txt	169518	GW47
GW48_S36_L001_R1_001.txt	186237	GW48
GW49_S37_L001_R1_001.txt	69679	GW49
GW4_S67_L001_R1_001.txt	184256	GW4
GW50_S38_L001_R1_001.txt	207874	GW50
GW51_S39_L001_R1_001.txt	140356	GW51
GW52_S40_L001_R1_001.txt	184409	GW52
GW53_S41_L001_R1_001.txt	191761	GW53
GW54_S42_L001_R1_001.txt	125266	GW54
GW55_S43_L001_R1_001.txt	189572	GW55
GW56_S44_L001_R1_001.txt	72704	GW56
GW57_S45_L001_R1_001.txt	99659	GW57
GW58_S46_L001_R1_001.txt	167784	GW58
GW59_S78_L001_R1_001.txt	64536	GW59
GW5_S68_L001_R1_001.txt	157959	GW5
GW60_S47_L001_R1_001.txt	232218	GW60
GW61_S48_L001_R1_001.txt	203571	GW61
GW62_S79_L001_R1_001.txt	107930	GW62
GW63_S49_L001_R1_001.txt	257212	GW63
GW64_S50_L001_R1_001.txt	203272	GW64
GW65_S51_L001_R1_001.txt	162095	GW65
GW66_S52_L001_R1_001.txt	202783	GW66
GW67_S53_L001_R1_001.txt	137664	GW67
GW68_S54_L001_R1_001.txt	273672	GW68
GW69_S55_L001_R1_001.txt	192794	GW69
GW6_S69_L001_R1_001.txt	172699	GW6
GW70_S56_L001_R1_001.txt	215420	GW70
GW71_S57_L001_R1_001.txt	193463	GW71
GW72_S58_L001_R1_001.txt	142049	GW72
GW73_S59_L001_R1_001.txt	160190	GW73
GW74_S60_L001_R1_001.txt	186130	GW74
GW7_S70_L001_R1_001.txt	143391	GW7
GW8_S71_L001_R1_001.txt	147075	GW8
GW9_S1_L001_R1_001.txt	25103	GW9
PCRNeg1_S63_L001_R1_001.txt	6367	PCRNeg1
PCRNeg2_S81_L001_R1_001.txt	8533	PCRNeg2
PCRPos1_S62_L001_R1_001.txt	155425	PCRPos1
PCRPos2_S80_L001_R1_001.txt	240241	PCRPos2
